GNU Affero General Public License 3.0, v3.0	http://purl.org/NET/rdflicense/agpl3.0
GNU General Public License, v1.0	http://purl.org/NET/rdflicense/gpl1.0
GNU General Public License, v2.0	http://purl.org/NET/rdflicense/gpl2.0
GNU General Public License, v3.0	http://purl.org/NET/rdflicense/gpl3.0
Govtrack License	http://purl.org/NET/rdflicense/GOVTRACK1.0
IBM Public License, v1.0	http://purl.org/NET/rdflicense/IBM1.0
Italian Open Data License v1.0, v1.0	http://purl.org/NET/rdflicense/iodl1.0
Language Resources End-User Agreement	http://purl.org/NET/rdflicense/elra-end-user
LANGUAGE RESOURCES VALUE-ADDED-RESELLER AGREEMENT	http://purl.org/NET/rdflicense/elra-var
LGPL, v2.0	http://purl.org/NET/rdflicense/lgpl2.0
LGPL, v2.1	http://purl.org/NET/rdflicense/lgpl2.1
LGPL, v3.0	http://purl.org/NET/rdflicense/lgpl3.0
META-SHARE Commercial NoRedistribution For-A-Fee, v1.0	http://purl.org/NET/rdflicense/ms-c-nored-ff
META-SHARE Commercial NoRedistribution, v1.0	http://purl.org/NET/rdflicense/ms-c-nored
META-SHARE Commons BYNCND, v1.0	http://purl.org/NET/rdflicense/ms-commons-byncnd
Microsoft Reference Source License	http://purl.org/NET/rdflicense/MICROSOFT1.0
MIT License, v1.0	http://purl.org/NET/rdflicense/MIT1.0
MPL, v2.0	http://purl.org/NET/rdflicense/MOZILLA2.0
OL, v1.0	http://purl.org/NET/rdflicense/OL1.0
Open Data Commons Attribution License, v1.0	http://purl.org/NET/rdflicense/odbc-by1.0
Open Data Commons Open Database License, v1.0	http://purl.org/NET/rdflicense/odbl1.0
Open Data Commons Public Domain Dedication and License, v1.0	http://purl.org/NET/rdflicense/odbc-pddl1.0
Open Geospatial Consortium Document, v1.0	http://purl.org/NET/rdflicense/OGCDocument1.0
Open Geospatial Consortium Software, v1.0	http://purl.org/NET/rdflicense/OGCSoftware1.0
Open Government Licence Non-Commercial, v2.0	http://purl.org/NET/rdflicense/ukogl-nc2.0
